"","incgroup_prepost","presapp_track"
"3213","$45,000-$49,999","Wrong Track"
"3214","$20,000-$22,499","Right Direction"
"3215","Under $5,000","Wrong Track"
"3216","$30,000-$34,999","Wrong Track"
"3217","$75,000-$79,999","Wrong Track"
"3218","Under $5,000","Wrong Track"
"3219","$35,000-$39,999","Right Direction"
"3220","$100,000-$109,999","Wrong Track"
"3221","$110,000-$124,999","Wrong Track"
"3222","$110,000-$124,999","Right Direction"
"3223","$80,000-$89,999","Right Direction"
"3224","Under $5,000","Right Direction"
"3225","$50,000-$54,999","Wrong Track"
"3226","$110,000-$124,999","Wrong Track"
"3227","$5,000-$9,999","Wrong Track"
"3228","$12,500-$14,999","Right Direction"
"3229","$35,000-$39,999","Wrong Track"
"3230","$55,000-$59,999","Wrong Track"
"3231",NA,"Wrong Track"
"3232","$20,000-$22,499","Wrong Track"
"3233","$35,000-$39,999","Right Direction"
"3234","$75,000-$79,999","Right Direction"
"3235","$50,000-$54,999","Right Direction"
"3236","$125,000-$149,999","Wrong Track"
"3237","$90,000-$99,999","Wrong Track"
"3238","$110,000-$124,999","Right Direction"
"3239","$30,000-$34,999","Right Direction"
"3240","$22,500-$24,999","Wrong Track"
"3241","$90,000-$99,999","Right Direction"
"3242","$40,000-$44,999","Wrong Track"
"3243","$250,000 Or More","Right Direction"
"3244","Under $5,000","Wrong Track"
"3245","$50,000-$54,999","Wrong Track"
"3246","$15,000-$17,499","Wrong Track"
"3247","Under $5,000","Right Direction"
"3248","$30,000-$34,999","Right Direction"
"3249","$35,000-$39,999","Wrong Track"
"3250","$80,000-$89,999","Wrong Track"
"3251","$75,000-$79,999","Right Direction"
"3252","Under $5,000","Wrong Track"
"3253","$30,000-$34,999","Right Direction"
"3254","$150,000-$174,999","Wrong Track"
"3255","$75,000-$79,999","Wrong Track"
"3256","$250,000 Or More","Wrong Track"
"3257","$55,000-$59,999","Wrong Track"
"3258","$75,000-$79,999","Right Direction"
"3259","Under $5,000","Wrong Track"
"3260","$80,000-$89,999","Wrong Track"
"3261","$90,000-$99,999","Right Direction"
"3262","$12,500-$14,999","Wrong Track"
"3263","$90,000-$99,999","Wrong Track"
"3264","$80,000-$89,999","Wrong Track"
"3265","Under $5,000","Right Direction"
"3266","Under $5,000","Wrong Track"
"3267","$70,000-$74,999","Right Direction"
"3268","$25,000-$27,499","Wrong Track"
"3269","$25,000-$27,499","Wrong Track"
"3270","$250,000 Or More","Wrong Track"
"3271","$40,000-$44,999","Wrong Track"
"3272","$30,000-$34,999","Wrong Track"
"3273","$60,000-$64,999","Right Direction"
"3274","$65,000-$69,999","Wrong Track"
"3275","$12,500-$14,999","Right Direction"
"3276","$27,500-$29,999","Wrong Track"
"3277","$65,000-$69,999","Right Direction"
"3278","Under $5,000","Wrong Track"
"3279","$175,000-$249,999","Right Direction"
"3280","$110,000-$124,999","Wrong Track"
"3281","$35,000-$39,999","Wrong Track"
"3282","$20,000-$22,499","Wrong Track"
"3283","$125,000-$149,999","Wrong Track"
"3284","$35,000-$39,999","Wrong Track"
"3285","$110,000-$124,999","Wrong Track"
"3286","$70,000-$74,999","Wrong Track"
"3287","$90,000-$99,999","Wrong Track"
"3288","$90,000-$99,999","Wrong Track"
"3289","$125,000-$149,999","Wrong Track"
"3290","$55,000-$59,999","Wrong Track"
"3291","$75,000-$79,999","Wrong Track"
"3292","$50,000-$54,999","Wrong Track"
"3293","$55,000-$59,999","Right Direction"
"3294","$100,000-$109,999","Right Direction"
"3295","$15,000-$17,499","Right Direction"
"3296","$40,000-$44,999","Wrong Track"
"3297","Under $5,000","Wrong Track"
"3298","$110,000-$124,999","Wrong Track"
"3299","Under $5,000","Wrong Track"
"3300","$75,000-$79,999","Wrong Track"
"3301","$60,000-$64,999","Wrong Track"
"3302","$27,500-$29,999","Wrong Track"
"3303",NA,"Wrong Track"
"3304","$20,000-$22,499","Right Direction"
"3305","$17,500-$19,999","Wrong Track"
"3306","$50,000-$54,999","Wrong Track"
"3307",NA,"Wrong Track"
"3308","$80,000-$89,999","Wrong Track"
"3309","$75,000-$79,999","Right Direction"
"3310","$55,000-$59,999","Wrong Track"
"3311",NA,"Right Direction"
"3312","Under $5,000","Right Direction"
"3313","$40,000-$44,999","Wrong Track"
"3314","Under $5,000","Right Direction"
"3315","$100,000-$109,999","Wrong Track"
"3316","$70,000-$74,999","Wrong Track"
"3317","$30,000-$34,999","Wrong Track"
"3318","$25,000-$27,499","Wrong Track"
"3319","$25,000-$27,499","Wrong Track"
"3320","$75,000-$79,999","Right Direction"
"3321","Under $5,000","Right Direction"
"3322","$40,000-$44,999","Wrong Track"
"3323","$10,000-$12,499","Right Direction"
"3324","$110,000-$124,999","Wrong Track"
"3325","$55,000-$59,999","Wrong Track"
"3326","$45,000-$49,999","Wrong Track"
"3327","$70,000-$74,999","Right Direction"
"3328","$10,000-$12,499","Right Direction"
"3329",NA,"Right Direction"
"3330","$50,000-$54,999","Wrong Track"
"3331","$80,000-$89,999","Wrong Track"
"3332","Under $5,000","Wrong Track"
"3333","$150,000-$174,999","Right Direction"
"3334","$55,000-$59,999","Wrong Track"
"3335","$17,500-$19,999","Right Direction"
"3336","$110,000-$124,999","Right Direction"
"3337","$55,000-$59,999","Wrong Track"
"3338","$50,000-$54,999","Wrong Track"
"3339","$30,000-$34,999","Right Direction"
"3340","Under $5,000","Wrong Track"
"3341","$17,500-$19,999","Wrong Track"
"3342","$150,000-$174,999","Wrong Track"
"3343","$100,000-$109,999","Right Direction"
"3344","$20,000-$22,499","Wrong Track"
"3345","$90,000-$99,999","Right Direction"
"3346","$40,000-$44,999","Right Direction"
"3347","$10,000-$12,499","Wrong Track"
"3348","$110,000-$124,999","Right Direction"
"3349","$250,000 Or More","Right Direction"
"3350","$22,500-$24,999","Wrong Track"
"3351","$100,000-$109,999","Wrong Track"
"3352","$110,000-$124,999","Wrong Track"
"3353","$150,000-$174,999","Right Direction"
"3354","$65,000-$69,999","Wrong Track"
"3355","$250,000 Or More","Right Direction"
"3356","$17,500-$19,999","Wrong Track"
"3357","$100,000-$109,999","Right Direction"
"3358","$175,000-$249,999","Wrong Track"
"3359","$175,000-$249,999","Wrong Track"
"3360","$45,000-$49,999","Wrong Track"
"3361","$70,000-$74,999","Wrong Track"
"3362","$175,000-$249,999","Right Direction"
"3363","$15,000-$17,499","Right Direction"
"3364","$110,000-$124,999","Wrong Track"
"3365","$125,000-$149,999","Wrong Track"
"3366","$80,000-$89,999","Right Direction"
"3367","$125,000-$149,999","Right Direction"
"3368","$27,500-$29,999","Wrong Track"
"3369","$40,000-$44,999","Wrong Track"
"3370","Under $5,000","Right Direction"
"3371","$25,000-$27,499","Wrong Track"
"3372","$35,000-$39,999","Wrong Track"
"3373","$100,000-$109,999","Wrong Track"
"3374","$25,000-$27,499","Wrong Track"
"3375","$65,000-$69,999","Wrong Track"
"3376","$70,000-$74,999","Right Direction"
"3377","$60,000-$64,999","Wrong Track"
"3378","$70,000-$74,999","Wrong Track"
"3379","Under $5,000","Wrong Track"
"3380","$22,500-$24,999","Wrong Track"
"3381","$30,000-$34,999","Right Direction"
"3382","$22,500-$24,999","Wrong Track"
"3383","Under $5,000","Right Direction"
"3384","$175,000-$249,999","Wrong Track"
"3385","$70,000-$74,999","Wrong Track"
"3386","$110,000-$124,999","Wrong Track"
"3387","$35,000-$39,999","Right Direction"
"3388","$10,000-$12,499","Right Direction"
"3389","$10,000-$12,499","Wrong Track"
"3390","$40,000-$44,999","Wrong Track"
"3391","$30,000-$34,999","Wrong Track"
"3392","Under $5,000","Right Direction"
"3393","$60,000-$64,999","Right Direction"
"3394","$55,000-$59,999","Wrong Track"
"3395","$10,000-$12,499","Wrong Track"
"3396","Under $5,000","Wrong Track"
"3397","$80,000-$89,999","Right Direction"
"3398","$70,000-$74,999","Right Direction"
"3399","$90,000-$99,999","Wrong Track"
"3400","$80,000-$89,999","Right Direction"
"3401","$35,000-$39,999","Wrong Track"
"3402","Under $5,000","Wrong Track"
"3403","$55,000-$59,999","Wrong Track"
"3404","$50,000-$54,999","Wrong Track"
"3405","$50,000-$54,999","Right Direction"
"3406","$5,000-$9,999","Right Direction"
"3407","$125,000-$149,999","Right Direction"
"3408","$60,000-$64,999","Wrong Track"
"3409","$55,000-$59,999","Wrong Track"
"3410","$22,500-$24,999","Right Direction"
"3411","Under $5,000","Right Direction"
"3412","$60,000-$64,999","Wrong Track"
"3413","$70,000-$74,999","Wrong Track"
"3414","$175,000-$249,999","Wrong Track"
"3415",NA,"Wrong Track"
"3416","$40,000-$44,999","Right Direction"
"3417","$5,000-$9,999","Wrong Track"
"3418","$22,500-$24,999","Right Direction"
"3419","Under $5,000","Right Direction"
"3420","$125,000-$149,999","Right Direction"
"3421","$125,000-$149,999","Right Direction"
"3422","Under $5,000","Right Direction"
"3423","$110,000-$124,999","Wrong Track"
"3424","$35,000-$39,999","Right Direction"
"3425","$80,000-$89,999","Right Direction"
"3426","$125,000-$149,999","Right Direction"
"3427","$65,000-$69,999","Wrong Track"
"3428","$25,000-$27,499","Wrong Track"
"3429",NA,"Wrong Track"
"3430","$125,000-$149,999","Right Direction"
"3431","$150,000-$174,999","Wrong Track"
"3432","$45,000-$49,999","Right Direction"
"3433","$40,000-$44,999","Right Direction"
"3434","$175,000-$249,999","Wrong Track"
"3435","$80,000-$89,999","Right Direction"
"3436","$30,000-$34,999","Right Direction"
"3437","$60,000-$64,999","Wrong Track"
"3438","$40,000-$44,999","Wrong Track"
"3439","$50,000-$54,999","Wrong Track"
"3440","$10,000-$12,499","Right Direction"
"3441","Under $5,000","Right Direction"
"3442","Under $5,000","Wrong Track"
"3443","$17,500-$19,999","Wrong Track"
"3444","$175,000-$249,999","Right Direction"
"3445","$20,000-$22,499","Right Direction"
"3446","$10,000-$12,499","Wrong Track"
"3447","Under $5,000","Wrong Track"
"3448","$5,000-$9,999","Right Direction"
"3449","$70,000-$74,999","Right Direction"
"3450","$25,000-$27,499","Wrong Track"
"3451","$110,000-$124,999","Wrong Track"
"3452","$22,500-$24,999","Wrong Track"
"3453","$100,000-$109,999","Right Direction"
"3454","$125,000-$149,999","Wrong Track"
"3455","Under $5,000","Right Direction"
"3456","$90,000-$99,999","Wrong Track"
"3457","$250,000 Or More","Wrong Track"
"3458","$125,000-$149,999","Wrong Track"
"3459","Under $5,000","Wrong Track"
"3460","$175,000-$249,999","Wrong Track"
"3461","$10,000-$12,499","Wrong Track"
"3462","$5,000-$9,999","Wrong Track"
"3463","$125,000-$149,999","Right Direction"
"3464","$80,000-$89,999","Wrong Track"
"3465","Under $5,000","Wrong Track"
"3466","$30,000-$34,999","Right Direction"
"3467","$12,500-$14,999","Wrong Track"
"3468","$35,000-$39,999","Wrong Track"
"3469","$90,000-$99,999","Wrong Track"
"3470","$30,000-$34,999","Wrong Track"
"3471","$75,000-$79,999","Wrong Track"
"3472","Under $5,000","Wrong Track"
"3473","$22,500-$24,999","Wrong Track"
"3474","$50,000-$54,999","Right Direction"
"3475","$17,500-$19,999","Wrong Track"
"3476","$5,000-$9,999","Right Direction"
"3477","Under $5,000","Right Direction"
"3478","$30,000-$34,999","Wrong Track"
"3479","Under $5,000","Right Direction"
"3480","$10,000-$12,499","Right Direction"
"3481","$55,000-$59,999","Wrong Track"
"3482","$22,500-$24,999","Wrong Track"
"3483","Under $5,000","Wrong Track"
"3484","$5,000-$9,999","Right Direction"
"3485","$100,000-$109,999","Right Direction"
"3486","$12,500-$14,999","Right Direction"
"3487","$150,000-$174,999","Wrong Track"
"3488","$25,000-$27,499","Wrong Track"
"3489","$22,500-$24,999","Right Direction"
"3490","$125,000-$149,999","Wrong Track"
"3491","$110,000-$124,999","Wrong Track"
"3492","Under $5,000","Wrong Track"
"3493","$250,000 Or More","Wrong Track"
"3494","$75,000-$79,999","Wrong Track"
"3495","$45,000-$49,999","Wrong Track"
"3496","$50,000-$54,999","Wrong Track"
"3497",NA,"Wrong Track"
"3498","$150,000-$174,999","Wrong Track"
"3499","$80,000-$89,999","Right Direction"
"3500","$175,000-$249,999","Wrong Track"
"3501","$80,000-$89,999","Wrong Track"
"3502","$35,000-$39,999","Wrong Track"
"3503","$25,000-$27,499","Wrong Track"
"3504","$20,000-$22,499","Right Direction"
"3505","$55,000-$59,999","Right Direction"
"3506","$17,500-$19,999","Right Direction"
"3507","$25,000-$27,499","Wrong Track"
"3508","$90,000-$99,999","Wrong Track"
"3509","$45,000-$49,999","Wrong Track"
"3510","$15,000-$17,499","Right Direction"
"3511","$60,000-$64,999","Wrong Track"
"3512","$125,000-$149,999","Wrong Track"
"3513","Under $5,000","Wrong Track"
"3514","$10,000-$12,499","Right Direction"
"3515",NA,"Right Direction"
"3516","$30,000-$34,999","Wrong Track"
"3517","$45,000-$49,999","Wrong Track"
"3518","Under $5,000","Wrong Track"
"3519","$15,000-$17,499","Right Direction"
"3520","$20,000-$22,499","Wrong Track"
"3521","$55,000-$59,999","Right Direction"
"3522","Under $5,000","Wrong Track"
"3523","$40,000-$44,999","Wrong Track"
"3524","$70,000-$74,999","Right Direction"
"3525","$250,000 Or More","Wrong Track"
"3526","$25,000-$27,499","Wrong Track"
"3527","$80,000-$89,999","Right Direction"
"3528","$150,000-$174,999","Right Direction"
"3529","$22,500-$24,999",NA
"3530","$65,000-$69,999","Right Direction"
"3531","Under $5,000","Right Direction"
"3532","$35,000-$39,999","Wrong Track"
"3533","Under $5,000","Right Direction"
"3534","$45,000-$49,999","Right Direction"
"3535",NA,"Wrong Track"
"3536","$90,000-$99,999","Right Direction"
"3537","$175,000-$249,999","Right Direction"
"3538","$12,500-$14,999","Wrong Track"
"3539","$50,000-$54,999","Wrong Track"
"3540","$65,000-$69,999","Wrong Track"
"3541","Under $5,000","Right Direction"
"3542","$50,000-$54,999","Right Direction"
"3543","$50,000-$54,999","Wrong Track"
"3544","$150,000-$174,999","Wrong Track"
"3545","Under $5,000","Right Direction"
"3546","$80,000-$89,999","Right Direction"
"3547","$65,000-$69,999","Wrong Track"
"3548","$90,000-$99,999","Right Direction"
"3549","$45,000-$49,999","Wrong Track"
"3550","$55,000-$59,999","Right Direction"
"3551","$175,000-$249,999","Wrong Track"
"3552","$90,000-$99,999","Wrong Track"
"3553","$90,000-$99,999","Wrong Track"
"3554","$70,000-$74,999","Wrong Track"
"3555","$17,500-$19,999","Wrong Track"
"3556","Under $5,000","Wrong Track"
"3557","$70,000-$74,999","Right Direction"
"3558","$125,000-$149,999","Right Direction"
"3559","$35,000-$39,999","Wrong Track"
"3560","$110,000-$124,999","Right Direction"
"3561","$40,000-$44,999","Wrong Track"
"3562","$60,000-$64,999","Wrong Track"
"3563","$55,000-$59,999","Wrong Track"
"3564","$35,000-$39,999","Wrong Track"
"3565","$40,000-$44,999","Wrong Track"
"3566","$22,500-$24,999","Right Direction"
"3567","$100,000-$109,999","Right Direction"
"3568","$35,000-$39,999","Wrong Track"
"3569","$10,000-$12,499","Right Direction"
"3570","$150,000-$174,999","Wrong Track"
"3571","Under $5,000","Wrong Track"
"3572","$5,000-$9,999","Right Direction"
"3573","$65,000-$69,999","Right Direction"
"3574","$100,000-$109,999","Right Direction"
"3575","$35,000-$39,999","Right Direction"
"3576","$80,000-$89,999","Wrong Track"
"3577","$125,000-$149,999","Right Direction"
"3578","$40,000-$44,999","Wrong Track"
"3579","$40,000-$44,999","Wrong Track"
"3580","$25,000-$27,499","Right Direction"
"3581","$100,000-$109,999","Right Direction"
"3582","$75,000-$79,999","Wrong Track"
"3583","$175,000-$249,999","Wrong Track"
"3584","Under $5,000","Wrong Track"
"3585","$45,000-$49,999","Wrong Track"
"3586","$150,000-$174,999","Wrong Track"
"3587","$50,000-$54,999","Wrong Track"
"3588","$30,000-$34,999","Right Direction"
"3589","$100,000-$109,999","Wrong Track"
"3590","$25,000-$27,499","Wrong Track"
"3591","$65,000-$69,999","Wrong Track"
"3592","$60,000-$64,999","Wrong Track"
"3593","$100,000-$109,999","Right Direction"
"3594","$100,000-$109,999","Right Direction"
"3595","$60,000-$64,999","Wrong Track"
"3596","$55,000-$59,999","Wrong Track"
"3597","$40,000-$44,999","Wrong Track"
"3598","$150,000-$174,999","Wrong Track"
"3599","$30,000-$34,999","Wrong Track"
"3600","$250,000 Or More","Right Direction"
"3601","$45,000-$49,999","Wrong Track"
"3602","$35,000-$39,999","Wrong Track"
"3603","$150,000-$174,999","Wrong Track"
"3604","$30,000-$34,999","Wrong Track"
"3605","$100,000-$109,999","Wrong Track"
"3606","$45,000-$49,999","Right Direction"
"3607","$65,000-$69,999","Right Direction"
"3608","$40,000-$44,999","Wrong Track"
"3609","$75,000-$79,999","Wrong Track"
"3610","$17,500-$19,999","Right Direction"
"3611","$75,000-$79,999","Wrong Track"
"3612","$150,000-$174,999","Wrong Track"
"3613","$100,000-$109,999","Right Direction"
"3614","$250,000 Or More","Right Direction"
"3615","Under $5,000","Right Direction"
"3616","$125,000-$149,999","Wrong Track"
"3617","$90,000-$99,999","Right Direction"
"3618","$50,000-$54,999","Right Direction"
"3619","$60,000-$64,999","Wrong Track"
"3620","$22,500-$24,999","Wrong Track"
"3621","$17,500-$19,999","Wrong Track"
"3622","$60,000-$64,999","Right Direction"
"3623","$17,500-$19,999","Right Direction"
"3624","$80,000-$89,999","Right Direction"
"3625","$125,000-$149,999","Wrong Track"
"3626",NA,"Wrong Track"
"3627","$27,500-$29,999","Wrong Track"
"3628","$20,000-$22,499","Right Direction"
"3629","$35,000-$39,999","Right Direction"
"3630","Under $5,000","Right Direction"
"3631","$35,000-$39,999","Wrong Track"
"3632","$100,000-$109,999","Right Direction"
"3633","$100,000-$109,999","Right Direction"
"3634","$12,500-$14,999","Wrong Track"
"3635","$60,000-$64,999","Right Direction"
"3636","$15,000-$17,499","Right Direction"
"3637","$50,000-$54,999","Wrong Track"
"3638","$75,000-$79,999","Wrong Track"
"3639","$125,000-$149,999","Wrong Track"
"3640","$90,000-$99,999","Right Direction"
"3641","$35,000-$39,999","Wrong Track"
"3642","$125,000-$149,999","Wrong Track"
"3643","$100,000-$109,999","Wrong Track"
"3644","$25,000-$27,499","Wrong Track"
"3645","Under $5,000","Right Direction"
"3646","$75,000-$79,999","Wrong Track"
"3647","$40,000-$44,999","Wrong Track"
"3648","$40,000-$44,999","Wrong Track"
"3649",NA,"Wrong Track"
"3650","$150,000-$174,999","Wrong Track"
"3651","Under $5,000","Wrong Track"
"3652","$150,000-$174,999","Right Direction"
"3653","$60,000-$64,999","Wrong Track"
"3654","Under $5,000","Right Direction"
"3655","$10,000-$12,499","Wrong Track"
"3656","$100,000-$109,999","Wrong Track"
"3657","$35,000-$39,999","Right Direction"
"3658","$50,000-$54,999","Wrong Track"
"3659","$75,000-$79,999","Right Direction"
"3660","$22,500-$24,999","Right Direction"
"3661","$30,000-$34,999","Wrong Track"
"3662","$12,500-$14,999","Right Direction"
"3663","$90,000-$99,999","Wrong Track"
"3664","$35,000-$39,999","Right Direction"
"3665","$35,000-$39,999","Right Direction"
"3666","$125,000-$149,999","Right Direction"
"3667","$70,000-$74,999","Wrong Track"
"3668","$65,000-$69,999","Wrong Track"
"3669","$30,000-$34,999","Right Direction"
"3670","Under $5,000","Wrong Track"
"3671","$40,000-$44,999","Wrong Track"
"3672","$20,000-$22,499","Right Direction"
"3673","$110,000-$124,999","Right Direction"
"3674","$15,000-$17,499","Right Direction"
"3675","$30,000-$34,999","Right Direction"
"3676","Under $5,000","Right Direction"
"3677","$30,000-$34,999","Wrong Track"
"3678","Under $5,000","Wrong Track"
"3679","$20,000-$22,499","Right Direction"
"3680","Under $5,000","Right Direction"
"3681","Under $5,000","Wrong Track"
"3682","$12,500-$14,999","Right Direction"
"3683","$15,000-$17,499","Right Direction"
"3684","$70,000-$74,999","Right Direction"
"3685","$50,000-$54,999","Wrong Track"
"3686","$15,000-$17,499","Wrong Track"
"3687","$75,000-$79,999","Wrong Track"
"3688","$35,000-$39,999","Right Direction"
"3689","$30,000-$34,999","Right Direction"
"3690","$10,000-$12,499","Wrong Track"
"3691","$50,000-$54,999","Wrong Track"
"3692","$250,000 Or More","Wrong Track"
"3693","Under $5,000","Right Direction"
"3694","$35,000-$39,999","Right Direction"
"3695","$100,000-$109,999","Wrong Track"
"3696","$125,000-$149,999","Right Direction"
"3697","$5,000-$9,999","Right Direction"
"3698","Under $5,000","Wrong Track"
"3699","$100,000-$109,999","Wrong Track"
"3700","Under $5,000","Wrong Track"
"3701","$22,500-$24,999","Wrong Track"
"3702","$100,000-$109,999","Right Direction"
"3703","$30,000-$34,999","Wrong Track"
"3704","$27,500-$29,999","Wrong Track"
"3705","$55,000-$59,999","Wrong Track"
"3706","$22,500-$24,999","Wrong Track"
"3707","$15,000-$17,499","Wrong Track"
"3708","$35,000-$39,999","Right Direction"
"3709","$175,000-$249,999","Wrong Track"
"3710","$35,000-$39,999","Wrong Track"
"3711","Under $5,000","Right Direction"
"3712","$65,000-$69,999","Right Direction"
"3713","$110,000-$124,999","Wrong Track"
"3714","$100,000-$109,999","Right Direction"
"3715","$100,000-$109,999","Right Direction"
"3716","$80,000-$89,999","Wrong Track"
"3717","$90,000-$99,999","Right Direction"
"3718","$40,000-$44,999","Wrong Track"
"3719","$40,000-$44,999","Right Direction"
"3720","$80,000-$89,999","Right Direction"
"3721","$125,000-$149,999","Right Direction"
"3722","$12,500-$14,999","Wrong Track"
"3723","$70,000-$74,999","Right Direction"
"3724","$55,000-$59,999","Wrong Track"
"3725","$5,000-$9,999","Right Direction"
"3726","$90,000-$99,999","Right Direction"
"3727","Under $5,000","Right Direction"
"3728","$10,000-$12,499","Right Direction"
"3729","$175,000-$249,999","Right Direction"
"3730","$15,000-$17,499","Wrong Track"
"3731","$90,000-$99,999","Right Direction"
"3732","$25,000-$27,499","Wrong Track"
"3733","$70,000-$74,999","Right Direction"
"3734","Under $5,000","Right Direction"
"3735",NA,"Right Direction"
"3736","$100,000-$109,999",NA
"3737","Under $5,000","Right Direction"
"3738","$100,000-$109,999","Right Direction"
"3739","$35,000-$39,999","Wrong Track"
"3740","$45,000-$49,999","Wrong Track"
"3741","$65,000-$69,999","Wrong Track"
"3742","Under $5,000","Right Direction"
"3743","$17,500-$19,999","Right Direction"
"3744","$17,500-$19,999","Wrong Track"
"3745","$80,000-$89,999","Right Direction"
"3746","$25,000-$27,499","Wrong Track"
"3747","$10,000-$12,499","Wrong Track"
"3748","$22,500-$24,999","Wrong Track"
"3749","$100,000-$109,999","Wrong Track"
"3750","$90,000-$99,999","Wrong Track"
"3751","$150,000-$174,999","Right Direction"
"3752","$27,500-$29,999","Wrong Track"
"3753","$35,000-$39,999","Wrong Track"
"3754","$50,000-$54,999","Wrong Track"
"3755","$100,000-$109,999","Wrong Track"
"3756","Under $5,000","Wrong Track"
"3757","$75,000-$79,999","Wrong Track"
"3758","$15,000-$17,499","Wrong Track"
"3759","$5,000-$9,999","Right Direction"
"3760","$30,000-$34,999","Wrong Track"
"3761","$30,000-$34,999","Wrong Track"
"3762","$90,000-$99,999","Wrong Track"
"3763","$35,000-$39,999","Right Direction"
"3764","$50,000-$54,999","Right Direction"
"3765","$110,000-$124,999","Right Direction"
"3766","$30,000-$34,999","Wrong Track"
"3767","$27,500-$29,999","Right Direction"
"3768","$60,000-$64,999","Wrong Track"
"3769","$110,000-$124,999","Right Direction"
"3770","$175,000-$249,999","Right Direction"
"3771","$35,000-$39,999","Right Direction"
"3772","$125,000-$149,999","Wrong Track"
"3773","$100,000-$109,999","Wrong Track"
"3774",NA,"Right Direction"
"3775",NA,"Wrong Track"
"3776","$50,000-$54,999","Right Direction"
"3777","$75,000-$79,999","Wrong Track"
"3778","$125,000-$149,999","Right Direction"
"3779","$110,000-$124,999","Wrong Track"
"3780","$50,000-$54,999","Right Direction"
"3781","$60,000-$64,999","Wrong Track"
"3782","$17,500-$19,999","Right Direction"
"3783","$65,000-$69,999","Right Direction"
"3784","$12,500-$14,999","Wrong Track"
"3785","$60,000-$64,999","Right Direction"
"3786","$10,000-$12,499","Wrong Track"
"3787","$20,000-$22,499","Right Direction"
"3788","$20,000-$22,499","Wrong Track"
"3789","$65,000-$69,999","Right Direction"
"3790","$60,000-$64,999","Wrong Track"
"3791","$75,000-$79,999","Right Direction"
"3792","$12,500-$14,999","Right Direction"
"3793",NA,"Wrong Track"
"3794","$75,000-$79,999","Right Direction"
"3795","$50,000-$54,999","Right Direction"
"3796","$55,000-$59,999","Right Direction"
"3797","$25,000-$27,499","Wrong Track"
"3798","$35,000-$39,999","Wrong Track"
"3799","$45,000-$49,999","Wrong Track"
"3800","$25,000-$27,499","Wrong Track"
"3801","$45,000-$49,999","Wrong Track"
"3802",NA,"Wrong Track"
"3803","Under $5,000","Wrong Track"
"3804","$60,000-$64,999","Wrong Track"
"3805","$125,000-$149,999","Wrong Track"
"3806","$70,000-$74,999","Right Direction"
"3807","Under $5,000","Wrong Track"
"3808","$90,000-$99,999","Right Direction"
"3809","$50,000-$54,999","Wrong Track"
"3810","$90,000-$99,999","Wrong Track"
"3811","$5,000-$9,999","Right Direction"
"3812","$80,000-$89,999","Wrong Track"
"3813","$90,000-$99,999","Wrong Track"
"3814","$25,000-$27,499","Wrong Track"
"3815","$25,000-$27,499","Wrong Track"
"3816","Under $5,000","Wrong Track"
"3817","$50,000-$54,999","Wrong Track"
"3818","$125,000-$149,999","Wrong Track"
"3819","$45,000-$49,999","Wrong Track"
"3820","$150,000-$174,999","Wrong Track"
"3821","$5,000-$9,999","Right Direction"
"3822","$40,000-$44,999","Wrong Track"
"3823","Under $5,000","Right Direction"
"3824","$75,000-$79,999","Wrong Track"
"3825","$30,000-$34,999","Right Direction"
"3826","$75,000-$79,999","Wrong Track"
"3827","$250,000 Or More","Wrong Track"
"3828","$75,000-$79,999","Wrong Track"
"3829","$55,000-$59,999","Wrong Track"
"3830","$20,000-$22,499","Right Direction"
"3831","Under $5,000","Wrong Track"
"3832","$150,000-$174,999","Wrong Track"
"3833","$110,000-$124,999","Right Direction"
"3834","$30,000-$34,999","Right Direction"
"3835","$110,000-$124,999","Wrong Track"
"3836","$175,000-$249,999","Wrong Track"
"3837","$15,000-$17,499","Wrong Track"
"3838","$75,000-$79,999","Wrong Track"
"3839","$40,000-$44,999","Wrong Track"
"3840","$80,000-$89,999","Wrong Track"
"3841","$40,000-$44,999","Right Direction"
"3842","Under $5,000","Wrong Track"
"3843","$20,000-$22,499","Right Direction"
"3844","$35,000-$39,999","Right Direction"
"3845","$22,500-$24,999","Right Direction"
"3846","$80,000-$89,999","Right Direction"
"3847","$50,000-$54,999","Right Direction"
"3848","$100,000-$109,999","Wrong Track"
"3849","$100,000-$109,999","Wrong Track"
"3850","Under $5,000","Wrong Track"
"3851",NA,"Right Direction"
"3852","$60,000-$64,999","Wrong Track"
"3853","$50,000-$54,999","Right Direction"
"3854","$5,000-$9,999","Wrong Track"
"3855",NA,NA
"3856","$35,000-$39,999","Wrong Track"
"3857","$45,000-$49,999","Right Direction"
"3858","$50,000-$54,999","Right Direction"
"3859","$40,000-$44,999","Wrong Track"
"3860","Under $5,000","Wrong Track"
"3861","$55,000-$59,999","Right Direction"
"3862","$125,000-$149,999","Right Direction"
"3863","$70,000-$74,999","Wrong Track"
"3864","$60,000-$64,999","Right Direction"
"3865","$125,000-$149,999","Wrong Track"
"3866","$35,000-$39,999","Right Direction"
"3867","Under $5,000","Wrong Track"
"3868","$65,000-$69,999","Wrong Track"
"3869","Under $5,000","Wrong Track"
"3870","$175,000-$249,999","Wrong Track"
"3871","$100,000-$109,999","Wrong Track"
"3872","$70,000-$74,999","Right Direction"
"3873","Under $5,000","Wrong Track"
"3874","$70,000-$74,999","Wrong Track"
"3875","$75,000-$79,999","Wrong Track"
"3876","$55,000-$59,999","Right Direction"
